epoch,box,cls,obj,Recall,Precision,mAP@50,F1,mAP
383,0.985,1.019,2.187,0.459,0.600,0.494,0.502,0.316
384,0.982,1.018,2.183,0.458,0.598,0.494,0.499,0.316
385,0.984,1.016,2.187,0.457,0.603,0.495,0.502,0.316
386,0.978,1.013,2.171,0.459,0.600,0.495,0.503,0.316
387,0.983,1.018,2.186,0.461,0.597,0.495,0.502,0.316
388,0.986,1.016,2.180,0.459,0.598,0.495,0.501,0.316
389,0.981,1.015,2.181,0.461,0.593,0.497,0.502,0.317
390,0.984,1.019,2.182,0.461,0.595,0.497,0.502,0.317
391,0.981,1.015,2.177,0.462,0.595,0.497,0.503,0.317
392,0.986,1.020,2.181,0.464,0.590,0.497,0.503,0.317
393,0.980,1.015,2.176,0.468,0.584,0.497,0.503,0.318
394,0.986,1.017,2.183,0.469,0.583,0.498,0.504,0.318
395,0.982,1.015,2.176,0.469,0.587,0.498,0.505,0.318
396,0.981,1.012,2.170,0.474,0.576,0.498,0.504,0.318
397,0.983,1.014,2.174,0.471,0.581,0.498,0.504,0.318
398,0.980,1.009,2.169,0.472,0.580,0.498,0.504,0.318
399,0.978,1.010,2.163,0.469,0.587,0.498,0.505,0.318
400,0.982,1.015,2.173,0.469,0.589,0.497,0.505,0.318
401,0.981,1.014,2.170,0.469,0.585,0.497,0.504,0.318
402,0.982,1.011,2.171,0.465,0.596,0.497,0.506,0.318
403,0.981,1.010,2.174,0.466,0.596,0.498,0.505,0.318
404,0.981,1.010,2.171,0.466,0.595,0.498,0.506,0.318
405,0.976,1.005,2.157,0.466,0.596,0.499,0.506,0.318
406,0.978,1.007,2.161,0.466,0.593,0.498,0.505,0.318
